code,description,MELDB_concept,DESCRIPTION,CONCEPT TYPE
M8021,,OSTEOPOROSIS,Osteoporosis of disuse with pathological fracture,Long-term condition
M8022,,OSTEOPOROSIS,Osteoporosis of disuse with pathological fracture,Long-term condition
M8023,,OSTEOPOROSIS,Osteoporosis of disuse with pathological fracture,Long-term condition
M8024,,OSTEOPOROSIS,Osteoporosis of disuse with pathological fracture,Long-term condition
M8025,,OSTEOPOROSIS,Osteoporosis of disuse with pathological fracture,Long-term condition
M8026,,OSTEOPOROSIS,Osteoporosis of disuse with pathological fracture,Long-term condition
M8027,,OSTEOPOROSIS,Osteoporosis of disuse with pathological fracture,Long-term condition
M8028,,OSTEOPOROSIS,Osteoporosis of disuse with pathological fracture,Long-term condition
M8029,,OSTEOPOROSIS,Osteoporosis of disuse with pathological fracture,Long-term condition
M803,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis with pathological fracture,Long-term condition
M8030,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis with pathological fracture,Long-term condition
M8031,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis with pathological fracture,Long-term condition
M8032,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis with pathological fracture,Long-term condition
M8033,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis with pathological fracture,Long-term condition
M8034,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis with pathological fracture,Long-term condition
M8035,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis with pathological fracture,Long-term condition
M8036,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis with pathological fracture,Long-term condition
M8037,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis with pathological fracture,Long-term condition
M8038,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis with pathological fracture,Long-term condition
M8039,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis with pathological fracture,Long-term condition
M804,,OSTEOPOROSIS,Drug-induced osteoporosis with pathological fracture,Long-term condition
M8040,,OSTEOPOROSIS,Drug-induced osteoporosis with pathological fracture,Long-term condition
M8041,,OSTEOPOROSIS,Drug-induced osteoporosis with pathological fracture,Long-term condition
M8042,,OSTEOPOROSIS,Drug-induced osteoporosis with pathological fracture,Long-term condition
M8043,,OSTEOPOROSIS,Drug-induced osteoporosis with pathological fracture,Long-term condition
M8044,,OSTEOPOROSIS,Drug-induced osteoporosis with pathological fracture,Long-term condition
M8045,,OSTEOPOROSIS,Drug-induced osteoporosis with pathological fracture,Long-term condition
M8046,,OSTEOPOROSIS,Drug-induced osteoporosis with pathological fracture,Long-term condition
M8047,,OSTEOPOROSIS,Drug-induced osteoporosis with pathological fracture,Long-term condition
M8048,,OSTEOPOROSIS,Drug-induced osteoporosis with pathological fracture,Long-term condition
M8049,,OSTEOPOROSIS,Drug-induced osteoporosis with pathological fracture,Long-term condition
M805,,OSTEOPOROSIS,Idiopathic osteoporosis with pathological fracture,Long-term condition
M8050,,OSTEOPOROSIS,Idiopathic osteoporosis with pathological fracture,Long-term condition
M8051,,OSTEOPOROSIS,Idiopathic osteoporosis with pathological fracture,Long-term condition
M8052,,OSTEOPOROSIS,Idiopathic osteoporosis with pathological fracture,Long-term condition
M8053,,OSTEOPOROSIS,Idiopathic osteoporosis with pathological fracture,Long-term condition
M8054,,OSTEOPOROSIS,Idiopathic osteoporosis with pathological fracture,Long-term condition
M8055,,OSTEOPOROSIS,Idiopathic osteoporosis with pathological fracture,Long-term condition
M8056,,OSTEOPOROSIS,Idiopathic osteoporosis with pathological fracture,Long-term condition
M8057,,OSTEOPOROSIS,Idiopathic osteoporosis with pathological fracture,Long-term condition
M8058,,OSTEOPOROSIS,Idiopathic osteoporosis with pathological fracture,Long-term condition
M8059,,OSTEOPOROSIS,Idiopathic osteoporosis with pathological fracture,Long-term condition
M808,,OSTEOPOROSIS,Other osteoporosis with pathological fracture,Long-term condition
M8080,,OSTEOPOROSIS,Other osteoporosis with pathological fracture,Long-term condition
M8081,,OSTEOPOROSIS,Other osteoporosis with pathological fracture,Long-term condition
M8082,,OSTEOPOROSIS,Other osteoporosis with pathological fracture,Long-term condition
M8083,,OSTEOPOROSIS,Other osteoporosis with pathological fracture,Long-term condition
M8084,,OSTEOPOROSIS,Other osteoporosis with pathological fracture,Long-term condition
M8085,,OSTEOPOROSIS,Other osteoporosis with pathological fracture,Long-term condition
M8086,,OSTEOPOROSIS,Other osteoporosis with pathological fracture,Long-term condition
M8087,,OSTEOPOROSIS,Other osteoporosis with pathological fracture,Long-term condition
M8088,,OSTEOPOROSIS,Other osteoporosis with pathological fracture,Long-term condition
M8089,,OSTEOPOROSIS,Other osteoporosis with pathological fracture,Long-term condition
M809,,OSTEOPOROSIS,Unspecified osteoporosis with pathological fracture,Long-term condition
M8090,,OSTEOPOROSIS,Unspecified osteoporosis with pathological fracture,Long-term condition
M8091,,OSTEOPOROSIS,Unspecified osteoporosis with pathological fracture,Long-term condition
M8092,,OSTEOPOROSIS,Unspecified osteoporosis with pathological fracture,Long-term condition
M8093,,OSTEOPOROSIS,Unspecified osteoporosis with pathological fracture,Long-term condition
M8094,,OSTEOPOROSIS,Unspecified osteoporosis with pathological fracture,Long-term condition
M8095,,OSTEOPOROSIS,Unspecified osteoporosis with pathological fracture,Long-term condition
M8096,,OSTEOPOROSIS,Unspecified osteoporosis with pathological fracture,Long-term condition
M8097,,OSTEOPOROSIS,Unspecified osteoporosis with pathological fracture,Long-term condition
M8098,,OSTEOPOROSIS,Unspecified osteoporosis with pathological fracture,Long-term condition
M8099,,OSTEOPOROSIS,Unspecified osteoporosis with pathological fracture,Long-term condition
M81,,OSTEOPOROSIS,Osteoporosis without pathological fracture,Long-term condition
M810,,OSTEOPOROSIS,Postmenopausal osteoporosis,Long-term condition
M8100,,OSTEOPOROSIS,Postmenopausal osteoporosis,Long-term condition
M8101,,OSTEOPOROSIS,Postmenopausal osteoporosis,Long-term condition
M8102,,OSTEOPOROSIS,Postmenopausal osteoporosis,Long-term condition
M8103,,OSTEOPOROSIS,Postmenopausal osteoporosis,Long-term condition
M8104,,OSTEOPOROSIS,Postmenopausal osteoporosis,Long-term condition
M8105,,OSTEOPOROSIS,Postmenopausal osteoporosis,Long-term condition
M8106,,OSTEOPOROSIS,Postmenopausal osteoporosis,Long-term condition
M8107,,OSTEOPOROSIS,Postmenopausal osteoporosis,Long-term condition
M8108,,OSTEOPOROSIS,Postmenopausal osteoporosis,Long-term condition
M8109,,OSTEOPOROSIS,Postmenopausal osteoporosis,Long-term condition
M811,,OSTEOPOROSIS,Postoophorectomy osteoporosis,Long-term condition
M8110,,OSTEOPOROSIS,Postoophorectomy osteoporosis,Long-term condition
M8111,,OSTEOPOROSIS,Postoophorectomy osteoporosis,Long-term condition
M8112,,OSTEOPOROSIS,Postoophorectomy osteoporosis,Long-term condition
M8113,,OSTEOPOROSIS,Postoophorectomy osteoporosis,Long-term condition
M8114,,OSTEOPOROSIS,Postoophorectomy osteoporosis,Long-term condition
M8115,,OSTEOPOROSIS,Postoophorectomy osteoporosis,Long-term condition
M8116,,OSTEOPOROSIS,Postoophorectomy osteoporosis,Long-term condition
M8117,,OSTEOPOROSIS,Postoophorectomy osteoporosis,Long-term condition
M8118,,OSTEOPOROSIS,Postoophorectomy osteoporosis,Long-term condition
M8119,,OSTEOPOROSIS,Postoophorectomy osteoporosis,Long-term condition
M812,,OSTEOPOROSIS,Osteoporosis of disuse,Long-term condition
M8120,,OSTEOPOROSIS,Osteoporosis of disuse,Long-term condition
M8121,,OSTEOPOROSIS,Osteoporosis of disuse,Long-term condition
M8122,,OSTEOPOROSIS,Osteoporosis of disuse,Long-term condition
M8123,,OSTEOPOROSIS,Osteoporosis of disuse,Long-term condition
M8124,,OSTEOPOROSIS,Osteoporosis of disuse,Long-term condition
M8125,,OSTEOPOROSIS,Osteoporosis of disuse,Long-term condition
M8126,,OSTEOPOROSIS,Osteoporosis of disuse,Long-term condition
M8127,,OSTEOPOROSIS,Osteoporosis of disuse,Long-term condition
M8128,,OSTEOPOROSIS,Osteoporosis of disuse,Long-term condition
M8129,,OSTEOPOROSIS,Osteoporosis of disuse,Long-term condition
M813,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis,Long-term condition
M8130,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis,Long-term condition
M8131,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis,Long-term condition
M8132,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis,Long-term condition
M8133,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis,Long-term condition
M8134,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis,Long-term condition
M8135,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis,Long-term condition
M8136,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis,Long-term condition
M8137,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis,Long-term condition
M8138,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis,Long-term condition
M8139,,OSTEOPOROSIS,Postsurgical malabsorption osteoporosis,Long-term condition
M814,,OSTEOPOROSIS,Drug-induced osteoporosis,Long-term condition
M8140,,OSTEOPOROSIS,Drug-induced osteoporosis,Long-term condition
M8141,,OSTEOPOROSIS,Drug-induced osteoporosis,Long-term condition
M8142,,OSTEOPOROSIS,Drug-induced osteoporosis,Long-term condition
M8143,,OSTEOPOROSIS,Drug-induced osteoporosis,Long-term condition
M8144,,OSTEOPOROSIS,Drug-induced osteoporosis,Long-term condition
M8145,,OSTEOPOROSIS,Drug-induced osteoporosis,Long-term condition
M8146,,OSTEOPOROSIS,Drug-induced osteoporosis,Long-term condition
M8147,,OSTEOPOROSIS,Drug-induced osteoporosis,Long-term condition
M8148,,OSTEOPOROSIS,Drug-induced osteoporosis,Long-term condition
M8149,,OSTEOPOROSIS,Drug-induced osteoporosis,Long-term condition
M815,,OSTEOPOROSIS,Idiopathic osteoporosis,Long-term condition
M8150,,OSTEOPOROSIS,Idiopathic osteoporosis,Long-term condition
M8151,,OSTEOPOROSIS,Idiopathic osteoporosis,Long-term condition
M8152,,OSTEOPOROSIS,Idiopathic osteoporosis,Long-term condition
M8153,,OSTEOPOROSIS,Idiopathic osteoporosis,Long-term condition
M8154,,OSTEOPOROSIS,Idiopathic osteoporosis,Long-term condition
M8155,,OSTEOPOROSIS,Idiopathic osteoporosis,Long-term condition
M8156,,OSTEOPOROSIS,Idiopathic osteoporosis,Long-term condition
M8157,,OSTEOPOROSIS,Idiopathic osteoporosis,Long-term condition
M8158,,OSTEOPOROSIS,Idiopathic osteoporosis,Long-term condition
M8159,,OSTEOPOROSIS,Idiopathic osteoporosis,Long-term condition
M816,,OSTEOPOROSIS,Localized osteoporosis [Lequesne],Long-term condition
M8160,,OSTEOPOROSIS,Localized osteoporosis [Lequesne],Long-term condition
M8161,,OSTEOPOROSIS,Localized osteoporosis [Lequesne],Long-term condition
M8162,,OSTEOPOROSIS,Localized osteoporosis [Lequesne],Long-term condition
M8163,,OSTEOPOROSIS,Localized osteoporosis [Lequesne],Long-term condition
M8164,,OSTEOPOROSIS,Localized osteoporosis [Lequesne],Long-term condition
M8165,,OSTEOPOROSIS,Localized osteoporosis [Lequesne],Long-term condition
M8166,,OSTEOPOROSIS,Localized osteoporosis [Lequesne],Long-term condition
M8167,,OSTEOPOROSIS,Localized osteoporosis [Lequesne],Long-term condition
M8168,,OSTEOPOROSIS,Localized osteoporosis [Lequesne],Long-term condition
M8169,,OSTEOPOROSIS,Localized osteoporosis [Lequesne],Long-term condition
M818,,OSTEOPOROSIS,Other osteoporosis,Long-term condition
M8180,,OSTEOPOROSIS,Other osteoporosis,Long-term condition
M8181,,OSTEOPOROSIS,Other osteoporosis,Long-term condition
M8182,,OSTEOPOROSIS,Other osteoporosis,Long-term condition
M8183,,OSTEOPOROSIS,Other osteoporosis,Long-term condition
M8184,,OSTEOPOROSIS,Other osteoporosis,Long-term condition
M8185,,OSTEOPOROSIS,Other osteoporosis,Long-term condition
M8186,,OSTEOPOROSIS,Other osteoporosis,Long-term condition
M8187,,OSTEOPOROSIS,Other osteoporosis,Long-term condition
M8188,,OSTEOPOROSIS,Other osteoporosis,Long-term condition
M8189,,OSTEOPOROSIS,Other osteoporosis,Long-term condition
M819,,OSTEOPOROSIS,"Osteoporosis, unspecified",Long-term condition
M8190,,OSTEOPOROSIS,"Osteoporosis, unspecified",Long-term condition
M8191,,OSTEOPOROSIS,"Osteoporosis, unspecified",Long-term condition
M8192,,OSTEOPOROSIS,"Osteoporosis, unspecified",Long-term condition
M8193,,OSTEOPOROSIS,"Osteoporosis, unspecified",Long-term condition
M8194,,OSTEOPOROSIS,"Osteoporosis, unspecified",Long-term condition
M8195,,OSTEOPOROSIS,"Osteoporosis, unspecified",Long-term condition
M8196,,OSTEOPOROSIS,"Osteoporosis, unspecified",Long-term condition
M8197,,OSTEOPOROSIS,"Osteoporosis, unspecified",Long-term condition
M8198,,OSTEOPOROSIS,"Osteoporosis, unspecified",Long-term condition
M8199,,OSTEOPOROSIS,"Osteoporosis, unspecified",Long-term condition
M82,,OSTEOPOROSIS,Osteoporosis in diseases classified elsewhere,Long-term condition
M820,,OSTEOPOROSIS,Osteoporosis in multiple myelomatosis,Long-term condition
M8200,,OSTEOPOROSIS,Osteoporosis in multiple myelomatosis,Long-term condition
M8201,,OSTEOPOROSIS,Osteoporosis in multiple myelomatosis,Long-term condition
M8202,,OSTEOPOROSIS,Osteoporosis in multiple myelomatosis,Long-term condition
M8203,,OSTEOPOROSIS,Osteoporosis in multiple myelomatosis,Long-term condition
M8204,,OSTEOPOROSIS,Osteoporosis in multiple myelomatosis,Long-term condition
M8205,,OSTEOPOROSIS,Osteoporosis in multiple myelomatosis,Long-term condition
M8206,,OSTEOPOROSIS,Osteoporosis in multiple myelomatosis,Long-term condition
M8207,,OSTEOPOROSIS,Osteoporosis in multiple myelomatosis,Long-term condition
M8208,,OSTEOPOROSIS,Osteoporosis in multiple myelomatosis,Long-term condition
M8209,,OSTEOPOROSIS,Osteoporosis in multiple myelomatosis,Long-term condition
M821,,OSTEOPOROSIS,Osteoporosis in endocrine disorders,Long-term condition
M8210,,OSTEOPOROSIS,Osteoporosis in endocrine disorders,Long-term condition
M8211,,OSTEOPOROSIS,Osteoporosis in endocrine disorders,Long-term condition
M8212,,OSTEOPOROSIS,Osteoporosis in endocrine disorders,Long-term condition
M8213,,OSTEOPOROSIS,Osteoporosis in endocrine disorders,Long-term condition
M8214,,OSTEOPOROSIS,Osteoporosis in endocrine disorders,Long-term condition
M8215,,OSTEOPOROSIS,Osteoporosis in endocrine disorders,Long-term condition
M8216,,OSTEOPOROSIS,Osteoporosis in endocrine disorders,Long-term condition
M8217,,OSTEOPOROSIS,Osteoporosis in endocrine disorders,Long-term condition
M8218,,OSTEOPOROSIS,Osteoporosis in endocrine disorders,Long-term condition
M8219,,OSTEOPOROSIS,Osteoporosis in endocrine disorders,Long-term condition
M828,,OSTEOPOROSIS,Osteoporosis in other diseases classified elsewhere,Long-term condition
M8280,,OSTEOPOROSIS,Osteoporosis in other diseases classified elsewhere,Long-term condition
M8281,,OSTEOPOROSIS,Osteoporosis in other diseases classified elsewhere,Long-term condition
M8282,,OSTEOPOROSIS,Osteoporosis in other diseases classified elsewhere,Long-term condition
M8283,,OSTEOPOROSIS,Osteoporosis in other diseases classified elsewhere,Long-term condition
M8284,,OSTEOPOROSIS,Osteoporosis in other diseases classified elsewhere,Long-term condition
M8285,,OSTEOPOROSIS,Osteoporosis in other diseases classified elsewhere,Long-term condition
M8286,,OSTEOPOROSIS,Osteoporosis in other diseases classified elsewhere,Long-term condition
M8287,,OSTEOPOROSIS,Osteoporosis in other diseases classified elsewhere,Long-term condition
M8288,,OSTEOPOROSIS,Osteoporosis in other diseases classified elsewhere,Long-term condition
M8289,,OSTEOPOROSIS,Osteoporosis in other diseases classified elsewhere,Long-term condition
