code,description,MELDB_concept,DESCRIPTION,CONCEPT TYPE
M471,,OSTEOARTHRITIS,Other spondylosis with myelopathy,Long-term condition
M4710,,OSTEOARTHRITIS,Other spondylosis with myelopathy,Long-term condition
M4711,,OSTEOARTHRITIS,Other spondylosis with myelopathy,Long-term condition
M4712,,OSTEOARTHRITIS,Other spondylosis with myelopathy,Long-term condition
M4713,,OSTEOARTHRITIS,Other spondylosis with myelopathy,Long-term condition
M4714,,OSTEOARTHRITIS,Other spondylosis with myelopathy,Long-term condition
M4715,,OSTEOARTHRITIS,Other spondylosis with myelopathy,Long-term condition
M4716,,OSTEOARTHRITIS,Other spondylosis with myelopathy,Long-term condition
M4717,,OSTEOARTHRITIS,Other spondylosis with myelopathy,Long-term condition
M4718,,OSTEOARTHRITIS,Other spondylosis with myelopathy,Long-term condition
M4719,,OSTEOARTHRITIS,Other spondylosis with myelopathy,Long-term condition
M472,,OSTEOARTHRITIS,Other spondylosis with radiculopathy,Long-term condition
M4720,,OSTEOARTHRITIS,Other spondylosis with radiculopathy,Long-term condition
M4721,,OSTEOARTHRITIS,Other spondylosis with radiculopathy,Long-term condition
M4722,,OSTEOARTHRITIS,Other spondylosis with radiculopathy,Long-term condition
M4723,,OSTEOARTHRITIS,Other spondylosis with radiculopathy,Long-term condition
M4724,,OSTEOARTHRITIS,Other spondylosis with radiculopathy,Long-term condition
M4725,,OSTEOARTHRITIS,Other spondylosis with radiculopathy,Long-term condition
M4726,,OSTEOARTHRITIS,Other spondylosis with radiculopathy,Long-term condition
M4727,,OSTEOARTHRITIS,Other spondylosis with radiculopathy,Long-term condition
M4728,,OSTEOARTHRITIS,Other spondylosis with radiculopathy,Long-term condition
M4729,,OSTEOARTHRITIS,Other spondylosis with radiculopathy,Long-term condition
M478,,OSTEOARTHRITIS,Other spondylosis,Long-term condition
M4780,,OSTEOARTHRITIS,Other spondylosis,Long-term condition
M4781,,OSTEOARTHRITIS,Other spondylosis,Long-term condition
M4782,,OSTEOARTHRITIS,Other spondylosis,Long-term condition
M4783,,OSTEOARTHRITIS,Other spondylosis,Long-term condition
M4784,,OSTEOARTHRITIS,Other spondylosis,Long-term condition
M4785,,OSTEOARTHRITIS,Other spondylosis,Long-term condition
M4786,,OSTEOARTHRITIS,Other spondylosis,Long-term condition
M4787,,OSTEOARTHRITIS,Other spondylosis,Long-term condition
M4788,,OSTEOARTHRITIS,Other spondylosis,Long-term condition
M4789,,OSTEOARTHRITIS,Other spondylosis,Long-term condition
M479,,OSTEOARTHRITIS,"Spondylosis, unspecified",Long-term condition
M4790,,OSTEOARTHRITIS,"Spondylosis, unspecified",Long-term condition
M4791,,OSTEOARTHRITIS,"Spondylosis, unspecified",Long-term condition
M4792,,OSTEOARTHRITIS,"Spondylosis, unspecified",Long-term condition
M4793,,OSTEOARTHRITIS,"Spondylosis, unspecified",Long-term condition
M4794,,OSTEOARTHRITIS,"Spondylosis, unspecified",Long-term condition
M4795,,OSTEOARTHRITIS,"Spondylosis, unspecified",Long-term condition
M4796,,OSTEOARTHRITIS,"Spondylosis, unspecified",Long-term condition
M4797,,OSTEOARTHRITIS,"Spondylosis, unspecified",Long-term condition
M4798,,OSTEOARTHRITIS,"Spondylosis, unspecified",Long-term condition
M4799,,OSTEOARTHRITIS,"Spondylosis, unspecified",Long-term condition
